Keyword,Currency,Avg. monthly searches,Cambio en los últimos tres meses,Cambio interanual,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023
perros,COP,500000,0%,0%,Bajo,1,251.32,1391.55,,,,,,,,,,,,,,,,,
comida,COP,50000,0%,0%,Bajo,6,736.79,2443.05,,,,,,,,,,,,,,,,,
simparica,COP,5000,0%,0%,Bajo,13,279.48,1667.48,,,,,,,,,,,,,,,,,
royal canin puppy,COP,500,900%,900%,Alto,100,291.85,2738.03,,,,,,,,,,,,,,,,,
proplan,COP,5000,0%,0%,Alto,100,421.63,1264.98,,,,,,,,,,,,,,,,,
desayunos saludables,COP,50000,0%,0%,Bajo,9,148.93,736.79,,,,,,,,,,,,,,,,,
flexadin,COP,500,0%,0%,Bajo,21,,,,,,,,,,,,,,,,,,,
comida para perros,COP,5000,900%,900%,Alto,100,340.28,1806.92,,,,,,,,,,,,,,,,,
laika,COP,50000,0%,0%,Bajo,24,1282.84,49230.85,,,,,,,,,,,,,,,,,
camas para perros,COP,50000,0%,0%,Alto,100,155.11,1862.19,,,,,,,,,,,,,,,,,
comidas saludables,COP,50000,0%,0%,Bajo,9,155.11,866.16,,,,,,,,,,,,,,,,,
comida china a domicilio,COP,500,0%,0%,Bajo,11,620.46,1977.71,,,,,,,,,,,,,,,,,
alimento para perros,COP,5000,0%,0%,Alto,100,314.21,1578.21,,,,,,,,,,,,,,,,,
perros en adopcion,COP,5000,0%,0%,Bajo,15,200.81,969.47,,,,,,,,,,,,,,,,,
comida natural para perros,COP,5000,0%,900%,Alto,100,386.66,1458.81,,,,,,,,,,,,,,,,,
comida china,COP,50000,0%,0%,Bajo,1,717.41,2094.05,,,,,,,,,,,,,,,,,
razas de perros,COP,50000,0%,0%,Bajo,1,234.10,853.13,,,,,,,,,,,,,,,,,
hamburguesas,COP,50000,0%,0%,Bajo,8,736.79,2355.30,,,,,,,,,,,,,,,,,
pienso para perros,COP,500,0%,0%,Alto,69,331.21,3000.09,,,,,,,,,,,,,,,,,
comida de perro,COP,5000,0%,0%,Alto,85,465.34,3683.97,,,,,,,,,,,,,,,,,
adopcion de perros,COP,5000,0%,0%,Bajo,14,224.48,988.48,,,,,,,,,,,,,,,,,
seresto perros,COP,50,0%,0%,Alto,91,192.82,704.43,,,,,,,,,,,,,,,,,
comida rapida,COP,50000,0%,0%,Bajo,5,891.91,2287.94,,,,,,,,,,,,,,,,,
adiestramiento canino,COP,5000,0%,0%,Bajo,26,344.85,1043.65,,,,,,,,,,,,,,,,,
flexadin plus,COP,50,0%,-90%,Medio,50,167.04,3024.73,,,,,,,,,,,,,,,,,
desayunos,COP,50000,0%,0%,Bajo,3,271.45,1370.35,,,,,,,,,,,,,,,,,
pañales para perros,COP,5000,0%,0%,Alto,100,197.25,3648.09,,,,,,,,,,,,,,,,,
comida perros,COP,5000,0%,0%,Alto,99,576.58,3595.62,,,,,,,,,,,,,,,,,
jaulas para perros,COP,5000,0%,0%,Alto,100,116.34,1081.33,,,,,,,,,,,,,,,,,
hills kd,COP,500,0%,0%,Alto,100,476.96,3422.12,,,,,,,,,,,,,,,,,
collares para perros,COP,5000,0%,0%,Alto,100,238.71,1459.12,,,,,,,,,,,,,,,,,
dog chow adulto,COP,5000,0%,0%,Alto,100,346.45,1686.51,,,,,,,,,,,,,,,,,
bulldog frances,COP,500000,-90%,-90%,Bajo,2,249.83,708.61,,,,,,,,,,,,,,,,,
arnes perro,COP,500,0%,0%,Alto,100,198.86,1538.37,,,,,,,,,,,,,,,,,
pienso hipoalergenico perros,COP,50,0%,0%,Alto,90,299.16,1549.95,,,,,,,,,,,,,,,,,
pipetas perros,COP,50,0%,0%,Alto,90,318.80,2918.56,,,,,,,,,,,,,,,,,
comida mexicana,COP,50000,0%,0%,Bajo,4,77.56,1589.92,,,,,,,,,,,,,,,,,
proplan puppy,COP,500,0%,0%,Alto,100,440.65,1800.71,,,,,,,,,,,,,,,,,
condrovet,COP,500,0%,0%,Medio,59,450.75,2031.30,,,,,,,,,,,,,,,,,
peluqueria canina,COP,5000,0%,0%,Bajo,5,544.34,1674.06,,,,,,,,,,,,,,,,,
perros pequeños,COP,50000,0%,0%,Bajo,3,170.04,361.04,,,,,,,,,,,,,,,,,
condrovet force ha,COP,50,0%,0%,Medio,48,,,,,,,,,,,,,,,,,,,
royal canin hipoalergenico,COP,500,0%,0%,Alto,93,310.23,2365.50,,,,,,,,,,,,,,,,,
comidas saludables para bajar de peso,COP,5000,-90%,-90%,Bajo,16,77.56,659.24,,,,,,,,,,,,,,,,,
arnes para perros,COP,5000,0%,0%,Alto,100,154.99,1132.75,,,,,,,,,,,,,,,,,
comidas para bajar de peso,COP,5000,0%,0%,Bajo,19,77.56,542.90,,,,,,,,,,,,,,,,,
comida vegana,COP,5000,0%,0%,Bajo,7,155.11,1628.70,,,,,,,,,,,,,,,,,
comidas faciles y rapidas,COP,5000,0%,0%,Bajo,5,154.16,310.23,,,,,,,,,,,,,,,,,
dog chow cachorro,COP,5000,0%,0%,Alto,100,571.67,2298.26,,,,,,,,,,,,,,,,,
cachorros en adopcion,COP,500,0%,0%,Bajo,24,189.76,420.14,,,,,,,,,,,,,,,,,
pienso perros,COP,50,0%,0%,Medio,41,,,,,,,,,,,,,,,,,,,
royal canin cardiac,COP,50,0%,0%,Alto,78,138.33,1168.85,,,,,,,,,,,,,,,,,
menu semanal,COP,500,0%,0%,Bajo,4,125.52,462.06,,,,,,,,,,,,,,,,,
royal canin mini adulto,COP,500,0%,0%,Alto,100,373.09,3409.67,,,,,,,,,,,,,,,,,
comida humeda para perros,COP,5000,0%,900%,Alto,100,289.93,2370.31,,,,,,,,,,,,,,,,,
camas para perros grandes,COP,5000,0%,0%,Alto,100,155.11,1402.41,,,,,,,,,,,,,,,,,
hotel para perros,COP,500,0%,0%,Bajo,15,312.66,854.30,,,,,,,,,,,,,,,,,
dietas saludables,COP,5000,0%,0%,Bajo,13,155.11,752.55,,,,,,,,,,,,,,,,,
casas para perros,COP,5000,0%,0%,Alto,100,114.24,888.81,,,,,,,,,,,,,,,,,
